100	0.1646	0.215	0.15
300	0.7858	0.824	0.754
500	2.042	2.06	2.019
700	4.0002	4.061	3.938
900	6.65	6.749	6.567
1100	9.836	9.927	9.699
1300	13.7596	13.899	13.621
1500	18.217	18.324	18.074
1700	23.4942	23.74	23.145
1900	29.9662	31.9	29.252
2100	35.9312	36.283	35.298
2300	42.9422	43.778	41.985
2500	50.7172	52.427	49.804

